,activity_id,serious_marine_incident,marine_board_convened,invest_level,casualty_classification,incident_involvement,invest_type
0,1624444,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1627713,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1628735,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1628846,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1629156,true,false,,Significant Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,1629798,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1629858,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1632069,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1633390,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1633548,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1635870,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1635881,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1635967,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,1636161,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1636505,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1637623,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1639311,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1639860,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1640554,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1644660,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1650585,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1651224,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1652031,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1655457,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1656881,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
